Name,Theoretical
FA 13:5;O,354.1812438
FA 14:2;O2,390.2387584
FA 14:3;O2,388.2231084
FA 14:3;O,372.2281938
FA 14:4;O2,386.2074584
FA 14:4;O,370.2125438
FA 15:2;O2,404.2544084
FA 15:2;O,388.2594938
FA 15:3;O2,402.2387584
FA 15:3;O,386.2438438
FA 15:4;O2,400.2231084
FA 15:4;O,384.2281938
FA 15:5;O2,398.2074584
FA 15:5;O,382.2125438
FA 16:2;O2,418.2700584
FA 16:3;O2,416.2544084
FA 16:4;O2,414.2387584
FA 16:4;O,398.2438438
FA 16:5;O2,412.2231084
FA 16:5;O,396.2281938
FA 17:2;O2,432.2857084
FA 17:2;O,416.2907938
FA 17:3;O2,430.2700584
FA 17:3;O,414.2751438
FA 17:4;O2,428.2544084
FA 17:5;O2,426.2387584
FA 17:5;O,410.2438438
FA 18:1;O,432.3220938
FA 18:2;O2,446.3013584
FA 18:4;O2,442.2700584
FA 18:4;O,426.2751438
FA 18:5;O2,440.2544084
FA 19:3;O2,458.3013584
FA 20:2;O,458.3377438
FA 20:3;O2,472.3170084
FA 20:4;O2,470.3013584
FA 20:4;O,454.3064438
FA 20:5;O2,468.2857084
FA 20:5;O,452.2907938
FA 8:1;O2,308.1605084
FA 9:1;O2,322.1761584
FA 10:1;O2,336.1918084
FA 11:1;O2,350.2074584
FA 12:1;O2,364.2231084
FA 15:1;O2,406.2700584
FA 19:1;O2,462.3326584
